GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
users-service,com.service.users.service,OrderService,19,0,4,0,5,0,4,0,2,0
users-service,com.service.users.controller,OrderController,16,0,0,0,4,0,3,0,3,0
